mangaid,plateifu,ff_age_lw,ff_age_mw,ff_mass,dl_ttype,gz_p_nobulge,gz_p_obvious,gz_p_dominant,gz_ttype
1-177528,7960-3702,6.560136702881119,11.317925911289798,10.032892227172852,2.0363283157348633,,,,
1-152791,8936-12701,,,11.078609466552734,-2.2262539863586426,0.0,0.7,0.0,3.041
1-248328,8313-3702,8.006131393146346,9.731995875871137,10.89855670928955,-2.385807514190674,0.0,1.0,0.0,2.36
1-394326,8943-3703,3.015116553423351,4.0879516149467205,11.008438110351562,-2.446800708770752,0.0,0.5351743330389874,0.375,0.27265426400149817
1-419231,8322-9102,4.181241259687321,7.679616943563506,9.8873872756958,3.630218505859375,0.0,0.25,0.0,4.0625
1-22662,7992-6104,5.900472339936373,10.081806786915768,10.028953552246094,1.6757619380950928,,,,
1-44880,8719-12704,1.2892514983661687,4.04130646173504,8.867609977722168,5.604833602905273,0.5675675675675675,0.0,0.0,6.996756756756756
1-593971,9042-3704,8.19257974067779,10.105157015171526,10.677901268005371,-2.5529837608337402,0.0,0.5517241379310345,0.5,-0.812413793103449
1-626658,8983-12701,4.181241259687321,6.4668464448019884,10.061991691589355,3.723503589630127,0.043478260869565216,0.3695652173913043,0.05263157894736842,3.5313386727688787
1-217300,8250-3703,7.189806939725294,11.237289354572818,9.384634971618652,-1.5606313943862915,0.0,0.0,1.0,-3.750000000000001
1-150227,8989-12703,,,11.118734359741211,-2.328920364379883,,,,
1-318499,9050-12701,2.2221514469893053,2.595311479480161,9.516236305236816,3.822266101837158,1.0,0.0,0.0,8.8
1-285737,8330-12703,2.6419565079079654,4.78762679927455,10.03821086883545,4.439000606536865,0.022222222222222227,0.4155844155844156,0.05,3.3602900432900435
1-626840,9881-12703,5.953751504299958,8.565871666517106,10.400247573852539,-1.9988678693771362,0.0,1.0,0.0,2.36
1-260446,8447-6101,5.355481317786737,7.512152054558945,10.914444923400879,2.7372782230377197,0.0,0.5,0.18477266239028348,1.9466050891694244
1-113518,7972-6102,4.226145407553247,5.711351656325339,9.572702407836914,4.464414119720459,,,,
1-176546,8606-12705,4.592526571204727,8.401028149282611,10.404987335205078,3.3926138877868652,0.05660377358490566,0.2368421052631579,0.0,4.328406156901688
1-457177,8935-1901,7.866196085314142,12.297472357767557,9.086655616760254,-2.06886625289917,0.2,0.022388059701492536,0.0,5.413179104477613
1-379410,8712-6103,5.9300166268989,7.999471044096193,9.591612815856934,2.484022617340088,0.6410256410256411,0.0,0.14583333333333334,6.080993589743589
1-321271,9868-12705,4.927561792600859,6.420201254745732,10.52221965789795,2.744089126586914,0.0,0.6571428571428571,0.16666666666666666,1.7416190476190472
1-211019,8604-1902,9.987210111563757,11.247935983058744,9.688835144042969,-1.988265872001648,0.0,0.3888888888888889,0.25,1.652222222222222
1-373102,9002-12705,2.1537147190998143,3.715060571195104,9.940176963806152,4.665585517883301,0.1,0.15756840544547782,0.0925925925925926,3.9133937937128387
1-321979,8552-3702,,,9.091927528381348,5.306249141693115,0.32608695652173914,0.0,0.0,5.989782608695652
1-456376,8932-12701,0.755241846508161,1.7218142285016673,9.795310974121094,5.121826171875,0.17258463240882635,0.13333333333333333,0.023809523809523808,4.847487440954329
1-177985,9085-9101,6.324160161716207,10.863764530733471,10.375985145568848,0.6263248324394226,0.0,0.6216216216216216,0.0,3.218918918918919
1-489648,8450-6102,2.828151956532124,4.624309894727735,9.812674522399902,5.248067378997803,0.18181818181818185,0.03333333333333333,0.0,5.312515151515152
1-178399,9085-12701,2.426855004732918,3.496084355413132,9.909050941467285,5.417362689971924,0.0,0.042714096992207684,0.02631578947368421,4.312512684038214
1-593698,9871-12702,,,10.831722259521484,3.633025646209717,0.051825555181259884,0.4356435643564357,0.03125,3.5953266740167447
12-84677,7443-6104,7.4463913652102205,11.551151740695262,10.887141227722168,0.8992891311645508,,,,
1-207982,8592-12702,2.3797336545161034,4.086129169962284,9.195789337158203,3.0577874183654785,0.5773178173748795,0.13333333333333333,0.0,6.73474863178658
1-24418,8626-3704,6.535773717232948,9.333153323848471,10.495676040649414,1.811586856842041,0.0,0.5588235294117647,0.2023809523809524,1.6655182072829127
1-560834,8315-12701,9.444139357522033,11.387297942019174,10.561786651611328,4.562873840332031,0.0,0.6666666666666666,0.3076923076923077,0.5382051282051279
1-604860,8714-3704,6.156192392109655,8.135241861743882,10.871569633483887,-2.411916732788086,0.0,0.6410256410256411,0.0,3.1748717948717946
