mangaid,dl_ttype,ff_age_lw,ff_age_mw,ff_mass,gz_p_dominant,gz_p_nobulge,gz_p_obvious,gz_ttype,p3d_age_lw,p3d_age_mw,p3d_mass,plateifu,z
1-121911,-2.2922143936157227,6.629078381325625,8.6771888455705,9.424360275268556,0.015158045062538832,0.5909090909090909,0.07692307692307693,6.792451106851449,4.964223498307322,7.052961379327753,9.666952133178713,9183-12701,0.0211728
1-121936,4.852590084075928,2.5252363180951747,5.733185183923764,9.791419982910156,0.06557377049180327,0.08108108108108109,0.17391304347826084,4.0238173026911435,0.9307621019562292,4.762808511061976,10.144661903381348,9485-12703,0.0218013
1-121947,-2.346078872680664,9.475190519756094,13.46327228093574,11.121747016906738,0.42857142857142855,0.047619047619047616,0.5306122448979592,0.0326530612244893,5.744731223796954,7.033489278414907,11.15449047088623,9485-6102,0.0891167
1-121973,-1.8366273641586304,5.767171201943111,9.82528629339153,10.1928129196167,0.1263157894736842,0.08823529411764706,0.4736842105263158,2.8641517027863777,3.558778863375593,7.440351880352495,10.443940162658693,9485-6104,0.0328443
1-121992,-2.3331422805786133,7.81955179109445,9.871930986002713,9.553240776062012,0.015158045062538832,0.3125,0.060606060606060615,5.668524824800168,5.5252327620141095,4.836500219874381,9.581938743591307,9183-1902,0.0280217
1-121994,3.824803352355957,2.641956507907965,5.0674964510901805,8.667134284973145,0.0,0.7594936708860759,0.0,7.7970886075949375,0.3057092975585047,0.9507711194045402,8.882927894592285,9485-9102,0.0188169
1-122002,1.0724040269851685,3.5279030677616463,7.259212243645876,10.436976432800293,0.3147713615292165,0.05263157894736842,0.4888888888888889,1.1019118968179145,0.4122222013385377,7.9308135768808015,10.96224880218506,9485-1901,0.0712221
1-122044,3.58412504196167,5.300721839723057,9.21890164487239,9.730131149291992,0.0,0.1153846153846154,0.2083333333333333,4.63823717948718,2.349670506846483,7.10857907408749,10.049407958984377,9181-9102,0.0394439
1-122054,-2.3388748168945312,7.493036865858373,8.799096889247851,9.685869216918944,0.0,0.0,0.5454545454545454,3.3918181818181816,7.855331002215888,9.627358769542443,10.871614456176758,9485-12704,0.0422109
1-122057,-1.6249903440475464,6.282614417539325,9.62956031469895,9.62167263031006,0.25,0.0,0.3958305845098298,1.636464573162686,2.6017299853158318,7.511286061492065,9.857460975646973,9181-1902,0.0399474
1-122059,1.3124327659606934,6.326911318488596,10.75818766260981,10.675132751464844,0.1,0.0,0.5555555555555556,2.5308888888888887,2.119483544712029,5.433548901346652,10.801155090332033,9183-12704,0.0762452
1-122067,2.785519599914551,2.8250728948160977,6.834297015018412,9.04399871826172,0.07017543859649122,0.2084490651448277,0.19230769230769232,4.474623964676875,0.7746351749969362,2.465471931217504,9.187846183776855,9181-6104,0.0233687
1-122088,4.55038595199585,,,10.978861808776855,0.041666666666666664,0.11257961783439492,0.4666666666666667,3.6909570063694273,,,10.960552215576172,9486-12701,0.041528
1-122094,4.464666843414307,4.621486509614637,7.329742220989529,10.249557495117188,0.14864864864864866,0.061224489795918366,0.5817664637433024,2.3190205740760077,1.8559086453991598,6.143703016121192,10.69737720489502,9183-9101,0.0355189
1-122119,6.353026866912843,6.9332962950252455,10.105157015171525,8.786824226379395,0.024054073557356937,0.5291896182618526,0.13576579252977558,6.326959222698682,0.5712351940496893,2.4020014913179017,9.411825180053713,9183-9102,0.0223205
1-122141,-1.8821977376937864,6.047041607361322,7.772906713657887,10.603401184082033,0.21052631578947367,0.0,0.5555555555555556,1.6046783625730994,3.98705054181446,7.3009998493172725,10.700812339782717,9183-3704,0.0404168
1-122151,-1.7717729806900024,4.04130646173504,5.3940111276877705,8.861723899841309,0.02253091638635231,0.0922445402762724,0.14285714285714285,4.501564939348709,2.4509620454104466,6.37289184155559,9.166135787963867,9183-6102,0.0124344
1-122284,-0.9648150205612184,4.367821369388783,5.790447401889355,9.894219398498537,0.25,0.0,0.5982600251405408,1.176949742930972,2.160188897936452,6.1821101896055435,10.193434715270996,9183-6101,0.0224921
1-122304,0.8,4.507515414553958,7.0955957496444935,10.184773445129396,0.2058823529411765,0.06896551724137931,0.5714285714285714,1.8951492321066352,1.1517076176848646,8.780487694959586,10.4556245803833,9183-3703,0.0233453
1-122329,-2.4284791946411133,7.198357390820229,9.38077113819157,11.062562942504883,1.0,0.5384615384615384,0.03333333333333333,-1.5802820512820528,8.45186131262843,10.556628488814527,11.183428764343262,9486-6103,0.0982483
