ID,zCMB,mu,e_mu,RA,DEC,Sample,Host,morphology,Morph_quality,Notes,Host_RA,Host_DEC,cutsmask,mu_cosmo,HR,HR_err,H0
sn2005iq,0.03297666666666667,35.16766109526106,0.1163216541337664,359.6184506519882,-18.71302338830501,Hicken,MCG -03-1-8,Sab,0.0,,359.632607,-18.714015,True,35.01788742798684,0.1497736672742178,0.14109648235756256,100.52725350224148
sn2005eq,0.028380000000000002,34.838920391867205,0.1049725444010678,47.21937363194126,-6.998286157146867,Hicken,MCG -01-9-6,Sbc,0.0,,47.201345,-7.040616,True,34.684521152752275,0.15439923911493025,0.13189664586825756,100.52725350224148
sn2005el,0.014790000000000001,33.29434415057013,0.11121006600613068,77.95183944700905,5.175767093555576,Hicken,NGC 1819,S0⚬,0.0,,77.94225,5.200611,True,33.24714519611146,0.04719895445867195,0.1369129975362103,100.52725350224148
sn2004bg,0.02188333333333333,34.142930365431994,0.12290741386001525,170.22633435978554,21.338456411725648,Hicken,UGC 6363,Sd,0.0,,170.251958,21.337806,True,34.10949055804766,0.033439807384333164,0.14657326664511322,100.52725350224148
sn2004as,0.03207666666666667,35.183584155457766,0.1313366277465674,171.39729355714442,22.81843662935573,Hicken,SDSS J112538.81+224952.2,Scd,1.0,,171.41173600000002,22.83118,True,34.956355923728296,0.2272282317294696,0.15371011645660415,100.52725350224148
sn2004l,0.033376666666666666,35.09546741057492,0.14618696082556726,156.77706557163333,16.014133276878646,Hicken,MCG +03-27-38,Scd,0.0,,156.766469,16.017943,True,35.04470958324589,0.050757827329029226,0.16657766245411876,100.52725350224148
sn2003iv,0.03347666666666667,35.29647176090146,0.1326905001776397,42.554098492056774,12.872489710948427,Hicken,MCG +02-8-14,E,0.0,,42.536831,12.843606,True,35.0513660374168,0.24510572348466295,0.15486852149696073,100.52725350224148
sn2003it,0.02398333333333333,34.327788631682694,0.14236233873937346,1.4804474788230126,27.488332440580788,Hicken,UGC 40,Sb,0.0,,1.451708,27.449416999999997,True,34.311887555017,0.01590107666569196,0.16323150922725216,100.52725350224148
sn2003ic,0.05416333333333333,35.807173044575904,0.14526713412725006,10.445201603376608,-9.273546981496077,Hicken,MCG -02-2-86,S0-,0.0,,10.460294000000001,-9.303129,True,36.12883075051413,-0.32165770593822884,0.16577101788553647,100.52725350224148
sn2003fa,0.039073333333333335,35.390310234922474,0.11411504716620376,265.96367810070115,40.86143952127985,Hicken,ARK 527,Sc,1.0,,266.035833,40.867306,True,35.39598726882553,-0.0056770339030620676,0.1392829282539942,100.52725350224148
